field,index,value
SDPval,0,2.32732e+06
SDPval,1,26060.7
SDPval,2,603.545
gradnorm,0,16.2071
gradnorm,1,5.6699
gradnorm,2,0.00317323
startingRank,0,2
endingRank,0,4
initialization_time,0,0.00180084
elapsed_optimization_times,0,46.0291
elapsed_optimization_times,1,18.2725
elapsed_optimization_times,2,4.16274
verification_times,0,0.0955512
verification_times,1,0.176643
verification_times,2,1.43576
FinalOptimizationTime,0,68.4644
FinalTotalTime,0,70.764
