field,index,value
SDPval,0,7.07434e+06
SDPval,1,8307.24
SDPval,2,466.03
gradnorm,0,9.47982
gradnorm,1,0.028115
gradnorm,2,0.00150017
startingRank,0,2
endingRank,0,4
initialization_time,0,0.00128539
elapsed_optimization_times,0,33.6739
elapsed_optimization_times,1,29.2585
elapsed_optimization_times,2,17.5791
verification_times,0,0.0985401
verification_times,1,0.122205
verification_times,2,0.571704
FinalOptimizationTime,0,80.5115
FinalTotalTime,0,82.2497
